"","K","FIT_ERROR_MEAN","FIT_ERROR_UPPER_MEAN","FIT_ERROR_LOWER_MEAN","PREDICTION_ERROR_MEAN","PREDICTION_ERROR_LOWER_MEAN","PREDICTION_ERROR_UPPER_MEAN","ACCURACY_MEAN","ACCURACY_UPPER_MEAN","ACCURACY_LOWER_MEAN"
"1",1,0,0,0,0.383573717948718,0.233437023962835,0.533710411934601,0.616426282051282,0.764901933239867,0.449695797503215
"2",2,0.0781381597676332,0.119192635026674,0.0370836845085928,0.448139743589744,0.294634739352724,0.601644747826763,0.551860256410256,0.708559853620567,0.387041471536361
"3",5,0.116631280690194,0.165785741832891,0.067476819547498,0.476795512820513,0.322561516897601,0.631029508743425,0.523204487179487,0.682830589916024,0.359945190580335
"4",10,0.129732160697083,0.181237046534522,0.0782272748596449,0.489865384615385,0.335425539092362,0.644305230138407,0.510134615384615,0.6709756845659,0.347704360460569
"5",25,0.16522776712102,0.222177955136788,0.108277579105253,0.524825641025641,0.370569422349315,0.679081859701967,0.475174358974359,0.638577821010177,0.315650805704463
"6",50,0.218308805124706,0.281337688123682,0.15527992212573,0.578221794871795,0.4269838175798,0.72945977216379,0.421778205128205,0.586551210163131,0.26927870991154
"7",100,0.285923541228931,0.355223514349854,0.216623568108008,0.64468782051282,0.496957542249841,0.7924180987758,0.355312179487179,0.522022059526649,0.211322593969156
