"","model_name","n_params","model_length","FIT_ERROR_MEAN","FIT_ERROR_UPPER_MEAN","FIT_ERROR_LOWER_MEAN","PREDICTION_ERROR_MEAN","PREDICTION_ERROR_LOWER_MEAN","PREDICTION_ERROR_UPPER_MEAN","ACCURACY_MEAN","ACCURACY_UPPER_MEAN","ACCURACY_LOWER_MEAN","AIC"
"1","PC2",1,985,0.471097068268932,0.540961591944182,0.401232544593682,0.50761421319797,0.50761421319797,0.50761421319797,0.49238578680203,0.987309644670051,0.0123096446700508,462.558095800373
"2","PC1 PC2",2,985,0.343856832072931,0.410353203998729,0.277360460147133,0.355329949238579,0.355329949238579,0.355329949238579,0.644670050761421,0.991116751269036,0.0161167512690355,367.410846237652
"3","PC1 PC2 PC4",3,985,0.330622604371698,0.396480687900379,0.264764520843016,0.34010152284264,0.34010152284264,0.34010152284264,0.65989847715736,0.991497461928934,0.016497461928934,345.506373278229
"4","PC1 PC2 PC3 PC4",4,980,0.326869012911287,0.392536179392689,0.261201846429885,0.357142857142857,0.357142857142857,0.357142857142857,0.642857142857143,0.991071428571429,0.0160714285714286,340.634660648606
"5","PC1 PC2 PC4 PC5",4,5,0.301020408163265,0.365238626698481,0.236802189628049,1,1,1,0,0.975,0,314.673536572393
"6","PC1 PC2 PC3 PC4 PC5",5,985,0.328913291204807,0.394676532869113,0.2631500495405,0.355329949238579,0.355329949238579,0.355329949238579,0.644670050761421,0.991116751269036,0.0161167512690355,339.783470295629
